Arousal,Valence,Dominance,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,MPS,TRT,GD,FFD,GPT,nFix
4.263,3.37,4.482,0.349,0,0,0,0,0.953,0,0.453,3393.726335,3272.114127,2271.848639,2042.908123,4918.966288,28.54330539
1.803,1.289,1.559,0,0,0,1.072,0,1.469,0,0,3541.701698,2037.391503,1254.270915,1211.811111,2808.687582,14.51339869
2.943,4.183,4.411,0,0.609,0.297,0,0.576,0.219,0,1.53,3393.698266,4614.541475,3705.400705,3282.506023,6345.915451,38.28337839
2.926,5.142,4.441,0,0,0.25,0,0,0,0,0.477,,,,,,
4.355,5.174,5.209,0,0,0,0,0.765,0,0,0.695,3361.964108,3248.623581,2384.391665,2072.423616,3890.354827,28.73165356
4.433,4.766,5.189,0,0,0,0,0.765,0,0,0,3344.495227,3712.044429,2817.109249,2514.253477,4904.954645,32.63318691
0.825,1.323,1.575,0,0,0,0,0,0,0,0.406,3394.335443,2514.926847,1692.412521,1505.196494,3213.256999,21.02895242
3.784,4.69,4.872,0,0,0,0.359,0.765,0,0,1.852,,,,,,
4.259,5.6,5.309,0,0,0,0,0.945,0,0,1.843,3306.176236,4178.466941,2975.676094,2699.070702,4906.834529,37.27720613
4.465,4.301,5.786,0.531,0,0,0.359,0,0,0,0,3300.477821,4950.202657,3977.798815,3241.968138,7380.811478,44.33893623
2.832,3.615,3.817,0.656,0,0.828,0.734,0.422,0.609,0,0.602,3440.395872,2662.004136,1690.591058,1501.815467,3335.184396,23.11154189
1.716,2.817,3.156,0,0,0,0,0,0,0,0,3390.589751,2989.167757,2182.536735,1983.625372,3661.673091,26.58581557
1.446,2.013,2.073,0,0,0,0,0.5,0,0,0,3472.169416,2420.988681,1725.235136,1587.471939,3055.910917,19.84941464
6.651,9.866,10.485,0,0.203,0,0.359,0.649,0,0.125,1.485,,,,,,
1.522,1.864,2.336,0,0,0,0,0,0,0,0.453,3484.979248,1974.745455,1590.571555,1381.474224,3489.036598,18.44451659
1.436,2.248,2.047,0,0,0,0,0,0,0,0,3397.850468,2051.451094,1454.946418,1318.124828,1842.303367,17.88506787
3.259,4.401,3.913,0.25,0,0.422,0.318,0.902,0.125,0,1.492,3396.349537,2917.257006,2451.318179,2267.19711,3110.640991,26.39112342
4.77,8.2,6.968,0,0.328,0,0,0.765,0,0,0.594,3272.086293,3781.930161,2880.042511,2622.930462,4164.386443,34.0432272
3.774,5.018,5.618,0,0.398,0,0.25,0,0,0,0,3378.0894,3518.958726,2961.156642,2604.840185,4332.500397,31.49163745
2.514,3.134,2.443,0,0,0.25,0,0.334,0,0,0,3356.959462,3004.339,1669.990086,1338.321737,3665.448775,23.40730152
3.561,4.267,4.554,0,0,0,0.2,0.303,0,0,0.664,3423.788812,2241.144444,1731.079785,1510.804809,2811.62423,18.82492997
2.358,3.518,3.471,0,0.234,0,0,0.109,0,0,1.274,3299.309653,2740.617288,2021.129487,1816.53914,3835.221644,24.93962247
4.192,6.12,5.359,0,0,0,0,0.765,0,0,0.68,3323.3973,2836.829615,2311.742008,2140.70086,3353.055039,27.5462815
2.671,1.992,2.894,0,0,0,0,0,0,0,0.453,3398.38693,2032.651221,1415.940858,1338.044444,2250.240079,17.13739316
1.331,1.669,2.283,0,0,0,0,0,0,0,1.062,3427.816832,2202.858561,1394.741924,1284.459382,2425.882017,19.09933955
1.25,2.608,2.14,0,0.406,0,0,0.412,0.016,0,1.289,3501.168459,2050.091631,1429.010085,1308.0638,2416.418221,16.14193935
1.673,1.7,2.425,0,0,0,0,0,0,0,0.453,3485.498201,1369.98254,769.2960317,682.9722222,1899.368254,10.38730159
2.014,1.445,2.433,0,0,0,0,0,0,0,0.68,3358.561527,2341.280303,1464.201753,1317.876263,2956.986542,18.95371361
