Word,GD,TRT,FFD,GPT,nFix,MPS
he,111.56794425087108,131.5383275261324,108.4198606271777,155.5801393728223,1.1951219512195121,3361.716898954704
was,110.5163472378805,141.40191657271703,104.17474633596392,137.10372040586245,1.2931228861330326,3330.888001288452
also,108.7094017094017,152.07692307692307,99.3931623931624,139.73504273504273,1.4957264957264957,3243.9679487179487
the,108.10738522954092,130.69780439121757,105.38562874251497,159.07904191616765,1.2299401197604791,3315.4734264803724
unsuccessful,133.5,268.1111111111111,105.0,242.61111111111111,2.4444444444444446,3442.759259259259
republican,143.4206349206349,221.8015873015873,116.01984126984127,234.31746031746033,1.8333333333333333,3322.039172335601
nominee,151.11111111111111,169.77777777777777,114.05555555555556,225.61111111111111,1.6111111111111112,3412.453703703704
for,105.11052631578947,121.36052631578947,103.48684210526316,164.81842105263158,1.1763157894736842,3317.121929824562
president,131.50404312668465,163.19946091644204,115.38814016172506,223.71967654986523,1.431266846361186,3261.666846361186
in,107.88856589147287,123.32364341085271,106.35174418604652,171.95833333333334,1.1414728682170543,3360.1458333333335
election,133.703125,190.1875,107.109375,253.6875,1.625,3341.7989583333338
losing,101.92857142857143,117.07142857142857,96.71428571428571,179.5,1.2142857142857142,3328.035714285714
to,103.65495207667732,117.18690095846645,102.48242811501598,180.27635782747603,1.1357827476038338,3322.402555910543
incumbent,157.0,190.45454545454547,117.63636363636364,232.0909090909091,1.6363636363636365,3272.25
bill,113.45,134.3,113.45,318.9,1.15,3261.025
clinton,139.52941176470588,171.31764705882352,119.14117647058823,482.77647058823527,1.423529411764706,3358.835294117647
buried,115.17647058823529,193.64705882352942,104.0,179.1764705882353,1.9411764705882353,3492.166666666667
at,111.89296636085626,133.22324159021406,110.61162079510703,159.23547400611622,1.18348623853211,3407.020642201835
foot,151.92592592592592,218.62962962962962,144.96296296296296,627.7777777777778,1.5925925925925926,3540.1080246913575
of,102.6987951807229,119.1825764596849,101.72937905468027,204.57182576459684,1.1455050973123262,3312.3853722582635
hill,110.0,244.7,110.0,510.5,1.9,3453.0083333333328
cemetery,239.2,406.8,239.2,904.0,1.6,3172.4
dole,89.6,158.0,89.6,223.46666666666667,1.6,3512.266666666667
elected,125.14685314685315,174.8181818181818,112.41258741258741,158.41958041958043,1.5174825174825175,3320.5189976689976
as,110.52164502164503,130.91991341991343,109.43939393939394,174.478354978355,1.1818181818181819,3354.495057720058
a,109.07232401157184,129.46287367405978,107.16875602700097,159.41272902603666,1.1726133076181293,3324.089681774349
united,114.16491228070176,138.2736842105263,105.11578947368422,154.31578947368422,1.3228070175438595,3256.8523391812864
states,106.52941176470588,141.12745098039215,102.16176470588235,171.48529411764707,1.3284313725490196,3271.0874766573293
house,111.87912087912088,131.0989010989011,103.21978021978022,144.84615384615384,1.2967032967032968,3247.360805860806
representatives,151.71052631578948,186.07894736842104,116.38157894736842,342.39473684210526,1.5921052631578947,3209.9187030075186
87th,206.91666666666666,277.3333333333333,162.75,355.1666666666667,1.5,3249.930555555556
congress,125.08474576271186,166.03389830508473,108.1864406779661,177.6271186440678,1.5932203389830508,3276.11400322841
and,101.96251874062969,118.34782608695652,100.24062968515742,177.47076461769115,1.1671664167916043,3350.1552098950524
three,116.4,156.45454545454547,110.07272727272728,165.34545454545454,1.3818181818181818,3245.2121212121215
succeeding,141.70833333333334,175.41666666666666,123.0,174.08333333333334,1.4166666666666667,3311.0625
congresses,198.53846153846155,224.46153846153845,116.23076923076923,219.53846153846155,1.6153846153846154,3222.4935897435894
spanning,144.0,156.1818181818182,125.18181818181819,144.0,1.1818181818181819,3190.3636363636365
from,106.68490566037735,130.5754716981132,101.81509433962265,160.27735849056603,1.2452830188679245,3324.017295597484
